86043 silly lifecycle beeper@1.1.0~preinstall: no script for preinstall, continuing
88041 verbose linkBins arr-diff@2.0.0
88042 verbose linkMans arr-diff@2.0.0
88043 silly build array-differ@1.0.0
88044 info linkStuff array-differ@1.0.0
88045 silly linkStuff array-differ@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88046 verbose linkBins array-differ@1.0.0
88047 verbose linkMans array-differ@1.0.0
88048 silly build array-find-index@1.0.1
88049 info linkStuff array-find-index@1.0.1
88050 silly linkStuff array-find-index@1.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88051 verbose linkBins array-find-index@1.0.1
88052 verbose linkMans array-find-index@1.0.1
88053 silly build array-slice@0.2.3
88054 info linkStuff array-slice@0.2.3
88055 silly linkStuff array-slice@0.2.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88056 verbose linkBins array-slice@0.2.3
88057 verbose linkMans array-slice@0.2.3
88058 silly build array-uniq@1.0.3
88059 info linkStuff array-uniq@1.0.3
88060 silly linkStuff array-uniq@1.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88061 verbose linkBins array-uniq@1.0.3
88062 verbose linkMans array-uniq@1.0.3
88063 silly build array-union@1.0.2
88064 info linkStuff array-union@1.0.2
88065 silly linkStuff array-union@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88066 verbose linkBins array-union@1.0.2
88067 verbose linkMans array-union@1.0.2
88068 silly build array-unique@0.2.1
88069 info linkStuff array-unique@0.2.1
88070 silly linkStuff array-unique@0.2.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88071 verbose linkBins array-unique@0.2.1
88072 verbose linkMans array-unique@0.2.1
88073 silly build arraybuffer.slice@0.0.6
88074 info linkStuff arraybuffer.slice@0.0.6
88075 silly linkStuff arraybuffer.slice@0.0.6 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88076 verbose linkBins arraybuffer.slice@0.0.6
88077 verbose linkMans arraybuffer.slice@0.0.6
88078 silly build arrify@1.0.1
88079 info linkStuff arrify@1.0.1
88080 silly linkStuff arrify@1.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88081 verbose linkBins arrify@1.0.1
88082 verbose linkMans arrify@1.0.1
88083 silly build asn1@0.1.11
88084 info linkStuff asn1@0.1.11
88085 silly linkStuff asn1@0.1.11 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88086 verbose linkBins asn1@0.1.11
88087 verbose linkMans asn1@0.1.11
88088 silly build assert-plus@0.1.5
88089 info linkStuff assert-plus@0.1.5
88090 silly linkStuff assert-plus@0.1.5 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88091 verbose linkBins assert-plus@0.1.5
88092 verbose linkMans assert-plus@0.1.5
88093 silly build async@1.5.2
88094 info linkStuff async@1.5.2
88095 silly linkStuff async@1.5.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88096 verbose linkBins async@1.5.2
88097 verbose linkMans async@1.5.2
88098 silly build async-each@1.0.0
88099 info linkStuff async-each@1.0.0
88100 silly linkStuff async-each@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88101 verbose linkBins async-each@1.0.0
88102 verbose linkMans async-each@1.0.0
88103 silly build async-each-series@0.1.1
88104 info linkStuff async-each-series@0.1.1
88105 silly linkStuff async-each-series@0.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88106 verbose linkBins async-each-series@0.1.1
88107 verbose linkMans async-each-series@0.1.1
88108 silly build async-foreach@0.1.3
88109 info linkStuff async-foreach@0.1.3
88110 silly linkStuff async-foreach@0.1.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88111 verbose linkBins async-foreach@0.1.3
88112 verbose linkMans async-foreach@0.1.3
88113 silly build aws-sign2@0.6.0
88114 info linkStuff aws-sign2@0.6.0
88115 silly linkStuff aws-sign2@0.6.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88116 verbose linkBins aws-sign2@0.6.0
88117 verbose linkMans aws-sign2@0.6.0
88118 silly build backo2@1.0.2
88119 info linkStuff backo2@1.0.2
88120 silly linkStuff backo2@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88121 verbose linkBins backo2@1.0.2
88122 verbose linkMans backo2@1.0.2
88123 silly build balanced-match@0.4.1
88124 info linkStuff balanced-match@0.4.1
88125 silly linkStuff balanced-match@0.4.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88126 verbose linkBins balanced-match@0.4.1
88127 verbose linkMans balanced-match@0.4.1
88128 silly build base64-arraybuffer@0.1.2
88129 info linkStuff base64-arraybuffer@0.1.2
88130 silly linkStuff base64-arraybuffer@0.1.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88131 verbose linkBins base64-arraybuffer@0.1.2
88132 verbose linkMans base64-arraybuffer@0.1.2
88133 silly build base64id@0.1.0
88134 info linkStuff base64id@0.1.0
88135 silly linkStuff base64id@0.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88136 verbose linkBins base64id@0.1.0
88137 verbose linkMans base64id@0.1.0
88138 silly build batch@0.5.3
88139 info linkStuff batch@0.5.3
88140 silly linkStuff batch@0.5.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88141 verbose linkBins batch@0.5.3
88142 verbose linkMans batch@0.5.3
88143 silly build beeper@1.1.0
88144 info linkStuff beeper@1.1.0
88145 silly linkStuff beeper@1.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88146 verbose linkBins beeper@1.1.0
88147 verbose linkMans beeper@1.1.0
88148 silly build benchmark@1.0.0
88149 info linkStuff benchmark@1.0.0
88150 silly linkStuff benchmark@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88151 verbose linkBins benchmark@1.0.0
88152 verbose linkMans benchmark@1.0.0
88153 silly build binary-extensions@1.5.0
88154 info linkStuff binary-extensions@1.5.0
88155 silly linkStuff binary-extensions@1.5.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88156 verbose linkBins binary-extensions@1.5.0
88157 verbose linkMans binary-extensions@1.5.0
88158 silly build binaryextensions@1.0.1
88159 info linkStuff binaryextensions@1.0.1
88160 silly linkStuff binaryextensions@1.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88161 verbose linkBins binaryextensions@1.0.1
88162 verbose linkMans binaryextensions@1.0.1
88163 silly build bindings@1.2.1
88164 info linkStuff bindings@1.2.1
88165 silly linkStuff bindings@1.2.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88166 verbose linkBins bindings@1.2.1
88167 verbose linkMans bindings@1.2.1
88168 silly build blob@0.0.4
88169 info linkStuff blob@0.0.4
88170 silly linkStuff blob@0.0.4 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88171 verbose linkBins blob@0.0.4
88172 verbose linkMans blob@0.0.4
88173 silly build bluebird@2.10.2
88174 info linkStuff bluebird@2.10.2
88175 silly linkStuff bluebird@2.10.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88176 verbose linkBins bluebird@2.10.2
88177 verbose linkMans bluebird@2.10.2
88178 silly build qs@6.2.0
88179 info linkStuff qs@6.2.0
88180 silly linkStuff qs@6.2.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\body-parser\node_modules as its parent node_modules
88181 verbose linkBins qs@6.2.0
88182 verbose linkMans qs@6.2.0
88183 silly build graceful-fs@2.0.3
88184 info linkStuff graceful-fs@2.0.3
88185 silly linkStuff graceful-fs@2.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\bower-config\node_modules as its parent node_modules
88186 verbose linkBins graceful-fs@2.0.3
88187 verbose linkMans graceful-fs@2.0.3
88188 silly build osenv@0.0.3
88189 info linkStuff osenv@0.0.3
88190 silly linkStuff osenv@0.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\bower-config\node_modules as its parent node_modules
88191 verbose linkBins osenv@0.0.3
88192 verbose linkMans osenv@0.0.3
88193 silly build connect-history-api-fallback@0.0.5
88194 info linkStuff connect-history-api-fallback@0.0.5
88195 silly linkStuff connect-history-api-fallback@0.0.5 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\browser-sync-spa\node_modules as its parent node_modules
88196 verbose linkBins connect-history-api-fallback@0.0.5
88197 verbose linkMans connect-history-api-fallback@0.0.5
88198 silly build buffer-shims@1.0.0
88199 info linkStuff buffer-shims@1.0.0
88200 silly linkStuff buffer-shims@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88201 verbose linkBins buffer-shims@1.0.0
88202 verbose linkMans buffer-shims@1.0.0
88203 silly build builtin-modules@1.1.1
88204 info linkStuff builtin-modules@1.1.1
88205 silly linkStuff builtin-modules@1.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88206 verbose linkBins builtin-modules@1.1.1
88207 verbose linkMans builtin-modules@1.1.1
88208 silly build bytes@2.4.0
88209 info linkStuff bytes@2.4.0
88210 silly linkStuff bytes@2.4.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88211 verbose linkBins bytes@2.4.0
88212 verbose linkMans bytes@2.4.0
88213 silly build callsite@1.0.0
88214 info linkStuff callsite@1.0.0
88215 silly linkStuff callsite@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88216 verbose linkBins callsite@1.0.0
88217 verbose linkMans callsite@1.0.0
88218 silly build better-assert@1.0.2
88219 info linkStuff better-assert@1.0.2
88220 silly linkStuff better-assert@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88221 verbose linkBins better-assert@1.0.2
88222 verbose linkMans better-assert@1.0.2
88223 silly build camelcase@1.2.1
88224 info linkStuff camelcase@1.2.1
88225 silly linkStuff camelcase@1.2.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88226 verbose linkBins camelcase@1.2.1
88227 verbose linkMans camelcase@1.2.1
88228 silly build caniuse-db@1.0.30000488
88229 info linkStuff caniuse-db@1.0.30000488
88230 silly linkStuff caniuse-db@1.0.30000488 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88231 verbose linkBins caniuse-db@1.0.30000488
88232 verbose linkMans caniuse-db@1.0.30000488
88233 silly build browserslist@1.3.4
88234 info linkStuff browserslist@1.3.4
88235 silly linkStuff browserslist@1.3.4 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88236 verbose linkBins browserslist@1.3.4
88237 verbose link bins [ { browserslist: './cli.js' },
88237 verbose link bins   'C:\\MyWorkProgram\\MyGitWorkSpace\\myWebLearn\\nodeTest\\node_modules\\.bin',
88237 verbose link bins   false ]
88238 verbose linkMans browserslist@1.3.4
88239 silly build caseless@0.11.0
88240 info linkStuff caseless@0.11.0
88241 silly linkStuff caseless@0.11.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88242 verbose linkBins caseless@0.11.0
88243 verbose linkMans caseless@0.11.0
88244 silly build source-map@0.4.4
88245 info linkStuff source-map@0.4.4
88246 silly linkStuff source-map@0.4.4 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\clean-css\node_modules as its parent node_modules
88247 verbose linkBins source-map@0.4.4
88248 verbose linkMans source-map@0.4.4
88249 silly build cli-width@1.1.1
88250 info linkStuff cli-width@1.1.1
88251 silly linkStuff cli-width@1.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88252 verbose linkBins cli-width@1.1.1
88253 verbose linkMans cli-width@1.1.1
88254 silly build clone@1.0.2
88255 info linkStuff clone@1.0.2
88256 silly linkStuff clone@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88257 verbose linkBins clone@1.0.2
88258 verbose linkMans clone@1.0.2
88259 silly build clone-stats@0.0.1
88260 info linkStuff clone-stats@0.0.1
88261 silly linkStuff clone-stats@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88262 verbose linkBins clone-stats@0.0.1
88263 verbose linkMans clone-stats@0.0.1
88264 silly build color-convert@1.3.1
88265 info linkStuff color-convert@1.3.1
88266 silly linkStuff color-convert@1.3.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88267 verbose linkBins color-convert@1.3.1
88268 verbose linkMans color-convert@1.3.1
88269 silly build color-name@1.1.1
88270 info linkStuff color-name@1.1.1
88271 silly linkStuff color-name@1.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88272 verbose linkBins color-name@1.1.1
88273 verbose linkMans color-name@1.1.1
88274 silly build color-string@0.3.0
88275 info linkStuff color-string@0.3.0
88276 silly linkStuff color-string@0.3.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88277 verbose linkBins color-string@0.3.0
88278 verbose linkMans color-string@0.3.0
88279 silly build color@0.11.3
88280 info linkStuff color@0.11.3
88281 silly linkStuff color@0.11.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88282 verbose linkBins color@0.11.3
88283 verbose linkMans color@0.11.3
88284 silly build colors@1.1.2
88285 info linkStuff colors@1.1.2
88286 silly linkStuff colors@1.1.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88287 verbose linkBins colors@1.1.2
88288 verbose linkMans colors@1.1.2
88289 silly build component-bind@1.0.0
88290 info linkStuff component-bind@1.0.0
88291 silly linkStuff component-bind@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88292 verbose linkBins component-bind@1.0.0
88293 verbose linkMans component-bind@1.0.0
88294 silly build component-emitter@1.1.2
88295 info linkStuff component-emitter@1.1.2
88296 silly linkStuff component-emitter@1.1.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88297 verbose linkBins component-emitter@1.1.2
88298 verbose linkMans component-emitter@1.1.2
88299 silly build component-inherit@0.0.3
88300 info linkStuff component-inherit@0.0.3
88301 silly linkStuff component-inherit@0.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88302 verbose linkBins component-inherit@0.0.3
88303 verbose linkMans component-inherit@0.0.3
88304 silly build concat-map@0.0.1
88305 info linkStuff concat-map@0.0.1
88306 silly linkStuff concat-map@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88307 verbose linkBins concat-map@0.0.1
88308 verbose linkMans concat-map@0.0.1
88309 silly build brace-expansion@1.1.5
88310 info linkStuff brace-expansion@1.1.5
88311 silly linkStuff brace-expansion@1.1.5 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88312 verbose linkBins brace-expansion@1.1.5
88313 verbose linkMans brace-expansion@1.1.5
88314 silly build connect-history-api-fallback@1.2.0
88315 info linkStuff connect-history-api-fallback@1.2.0
88316 silly linkStuff connect-history-api-fallback@1.2.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88317 verbose linkBins connect-history-api-fallback@1.2.0
88318 verbose linkMans connect-history-api-fallback@1.2.0
88319 silly build console-control-strings@1.1.0
88320 info linkStuff console-control-strings@1.1.0
88321 silly linkStuff console-control-strings@1.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88322 verbose linkBins console-control-strings@1.1.0
88323 verbose linkMans console-control-strings@1.1.0
88324 silly build content-type@1.0.2
88325 info linkStuff content-type@1.0.2
88326 silly linkStuff content-type@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88327 verbose linkBins content-type@1.0.2
88328 verbose linkMans content-type@1.0.2
88329 silly build convert-source-map@1.1.3
88330 info linkStuff convert-source-map@1.1.3
88331 silly linkStuff convert-source-map@1.1.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88332 verbose linkBins convert-source-map@1.1.3
88333 verbose linkMans convert-source-map@1.1.3
88334 silly build core-js@2.4.0
88335 info linkStuff core-js@2.4.0
88336 silly linkStuff core-js@2.4.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88337 verbose linkBins core-js@2.4.0
88338 verbose linkMans core-js@2.4.0
88339 silly build core-util-is@1.0.2
88340 info linkStuff core-util-is@1.0.2
88341 silly linkStuff core-util-is@1.0.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88342 verbose linkBins core-util-is@1.0.2
88343 verbose linkMans core-util-is@1.0.2
88344 silly build css-color-names@0.0.3
88345 info linkStuff css-color-names@0.0.3
88346 silly linkStuff css-color-names@0.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88347 verbose linkBins css-color-names@0.0.3
88348 verbose linkMans css-color-names@0.0.3
88349 silly build colormin@1.1.0
88350 info linkStuff colormin@1.1.0
88351 silly linkStuff colormin@1.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88352 verbose linkBins colormin@1.1.0
88353 verbose linkMans colormin@1.1.0
88354 silly build object-assign@4.1.0
88355 info linkStuff object-assign@4.1.0
88356 silly linkStuff object-assign@4.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\cssnano\node_modules as its parent node_modules
88357 verbose linkBins object-assign@4.1.0
88358 verbose linkMans object-assign@4.1.0
88359 silly build ctype@0.5.3
88360 info linkStuff ctype@0.5.3
88361 silly linkStuff ctype@0.5.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88362 verbose linkBins ctype@0.5.3
88363 verbose linkMans ctype@0.5.3
88364 silly build currently-unhandled@0.4.1
88365 info linkStuff currently-unhandled@0.4.1
88366 silly linkStuff currently-unhandled@0.4.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88367 verbose linkBins currently-unhandled@0.4.1
88368 verbose linkMans currently-unhandled@0.4.1
88369 silly build custom-event@1.0.0
88370 info linkStuff custom-event@1.0.0
88371 silly linkStuff custom-event@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88372 verbose linkBins custom-event@1.0.0
88373 verbose linkMans custom-event@1.0.0
88374 silly build assert-plus@1.0.0
88375 info linkStuff assert-plus@1.0.0
88376 silly linkStuff assert-plus@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\dashdash\node_modules as its parent node_modules
88377 verbose linkBins assert-plus@1.0.0
88378 verbose linkMans assert-plus@1.0.0
88379 silly build dashdash@1.14.0
88380 info linkStuff dashdash@1.14.0
88381 silly linkStuff dashdash@1.14.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88382 verbose linkBins dashdash@1.14.0
88383 verbose linkMans dashdash@1.14.0
88384 silly build deap@1.0.0
88385 info linkStuff deap@1.0.0
88386 silly linkStuff deap@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88387 verbose linkBins deap@1.0.0
88388 verbose linkMans deap@1.0.0
88389 silly build decamelize@1.2.0
88390 info linkStuff decamelize@1.2.0
88391 silly linkStuff decamelize@1.2.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88392 verbose linkBins decamelize@1.2.0
88393 verbose linkMans decamelize@1.2.0
88394 silly build deep-is@0.1.3
88395 info linkStuff deep-is@0.1.3
88396 silly linkStuff deep-is@0.1.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88397 verbose linkBins deep-is@0.1.3
88398 verbose linkMans deep-is@0.1.3
88399 silly build defaults@1.0.3
88400 info linkStuff defaults@1.0.3
88401 silly linkStuff defaults@1.0.3 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88402 verbose linkBins defaults@1.0.3
88403 verbose linkMans defaults@1.0.3
88404 silly build defined@1.0.0
88405 info linkStuff defined@1.0.0
88406 silly linkStuff defined@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88407 verbose linkBins defined@1.0.0
88408 verbose linkMans defined@1.0.0
88409 silly build object-assign@4.1.0
88410 info linkStuff object-assign@4.1.0
88411 silly linkStuff object-assign@4.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\del\node_modules as its parent node_modules
88412 verbose linkBins object-assign@4.1.0
88413 verbose linkMans object-assign@4.1.0
88414 silly build pinkie@1.0.0
88415 info linkStuff pinkie@1.0.0
88416 silly linkStuff pinkie@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\del\node_modules as its parent node_modules
88417 verbose linkBins pinkie@1.0.0
88418 verbose linkMans pinkie@1.0.0
88419 silly build pinkie-promise@1.0.0
88420 info linkStuff pinkie-promise@1.0.0
88421 silly linkStuff pinkie-promise@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\del\node_modules as its parent node_modules
88422 verbose linkBins pinkie-promise@1.0.0
88423 verbose linkMans pinkie-promise@1.0.0
88424 silly build delayed-stream@1.0.0
88425 info linkStuff delayed-stream@1.0.0
88426 silly linkStuff delayed-stream@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88427 verbose linkBins delayed-stream@1.0.0
88428 verbose linkMans delayed-stream@1.0.0
88429 silly build combined-stream@1.0.5
88430 info linkStuff combined-stream@1.0.5
88431 silly linkStuff combined-stream@1.0.5 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88432 verbose linkBins combined-stream@1.0.5
88433 verbose linkMans combined-stream@1.0.5
88434 silly build delegates@1.0.0
88435 info linkStuff delegates@1.0.0
88436 silly linkStuff delegates@1.0.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88437 verbose linkBins delegates@1.0.0
88438 verbose linkMans delegates@1.0.0
88439 silly build depd@1.1.0
88440 info linkStuff depd@1.1.0
88441 silly linkStuff depd@1.1.0 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88442 verbose linkBins depd@1.1.0
88443 verbose linkMans depd@1.1.0
88444 silly build deprecated@0.0.1
88445 info linkStuff deprecated@0.0.1
88446 silly linkStuff deprecated@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88447 verbose linkBins deprecated@0.0.1
88448 verbose linkMans deprecated@0.0.1
88449 silly build destroy@1.0.4
88450 info linkStuff destroy@1.0.4
88451 silly linkStuff destroy@1.0.4 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88452 verbose linkBins destroy@1.0.4
88453 verbose linkMans destroy@1.0.4
88454 silly build dev-ip@1.0.1
88455 info linkStuff dev-ip@1.0.1
88456 silly linkStuff dev-ip@1.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88457 verbose linkBins dev-ip@1.0.1
88458 verbose link bins [ { 'dev-ip': 'lib/dev-ip.js' },
88458 verbose link bins   'C:\\MyWorkProgram\\MyGitWorkSpace\\myWebLearn\\nodeTest\\node_modules\\.bin',
88458 verbose link bins   false ]
88459 verbose linkMans dev-ip@1.0.1
88460 silly build di@0.0.1
88461 info linkStuff di@0.0.1
88462 silly linkStuff di@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88463 verbose linkBins di@0.0.1
88464 verbose linkMans di@0.0.1
88465 silly build esutils@1.1.6
88466 info linkStuff esutils@1.1.6
88467 silly linkStuff esutils@1.1.6 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\doctrine\node_modules as its parent node_modules
88468 verbose linkBins esutils@1.1.6
88469 verbose linkMans esutils@1.1.6
88470 silly build isarray@0.0.1
88471 info linkStuff isarray@0.0.1
88472 silly linkStuff isarray@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\doctrine\node_modules as its parent node_modules
88473 verbose linkBins isarray@0.0.1
88474 verbose linkMans isarray@0.0.1
88475 silly build doctrine@0.7.2
88476 info linkStuff doctrine@0.7.2
88477 silly linkStuff doctrine@0.7.2 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88478 verbose linkBins doctrine@0.7.2
88479 verbose linkMans doctrine@0.7.2
88480 silly build duplexer@0.1.1
88481 info linkStuff duplexer@0.1.1
88482 silly linkStuff duplexer@0.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88483 verbose linkBins duplexer@0.1.1
88484 verbose linkMans duplexer@0.1.1
88485 silly build isarray@0.0.1
88486 info linkStuff isarray@0.0.1
88487 silly linkStuff isarray@0.0.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules\duplexer2\node_modules as its parent node_modules
88488 verbose linkBins isarray@0.0.1
88489 verbose linkMans isarray@0.0.1
88490 silly build ee-first@1.1.1
88491 info linkStuff ee-first@1.1.1
88492 silly linkStuff ee-first@1.1.1 has C:\MyWorkProgram\MyGitWorkSpace\myWebLearn\nodeTest\node_modules as its parent node_modules
88493 verbose linkBins ee-first@1.1.1
